OSHPD_ID,FAC_NAME,FAC_ADDRESS_ONE,FAC_ADDRESS_TWO,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,FAC_ADMIN_NAME,FAC_OPER_CURRYR,BEG_DATE,END_DATE,PARENT_NAME,PARENT_ADDRESS_ONE,PARENT_ADDRESS_TWO,PARENT_CITY,PARENT_STATE,PARENT_ZIPCODE,REPORT_PREP_NAME,LIC_STATUS,LIC_STATUS_DATE,LIC_ORIG_DATE,REPORT_STATUS,MCAL_PROVIDER_NO,MCARE_PROVIDER_NO,ACLAIMS_NO,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,CENS_TRACT,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,LICENSE_NO,LONGITUDE,LATITUDE,License_Category,Clin_FQHC_or_Like,Clin_95210_Rural,ComSvc_Adult_Day_Care,ComSvc_Child_Care,ComSvc_Education,ComSvc_Nutrition,ComSvc_Disaster_Relief,ComSvc_Environ_Health,ComSvc_Homeless,ComSvc_Legal,ComSvc_Outreach,ComSvc_Social_Svcs,ComSvc_Subst_Abuse,ComSvc_Transport,ComSvc_Voc_Training,ComSvc_Othr,Arabic_Lang_Stf,Arabic_Lang_Pt,Armenian_Lang_Stf,Armenian_Lang_Pt,Cambodian_Lang_Stf,Cambodian_Lang_Pt,Chinese_Lang_Stf,Chinese_Lang_Pt,Hindustani_Lang_Stf,Hindustani_Lang_Pt,Hmong_Lang_Stf,Hmong_Lang_Pt,Japanese_Lang_Stf,Japanese_Lang_Pt,Korean_Lang_Stf,Korean_Lang_Pt,Laotian_Lang_Stf,Laotian_Lang_Pt,Portugese_Lang_Stf,Portugese_Lang_Pt,Punjabi_Lang_Stf,Punjabi_Lang_Pt,Russian_Lang_Stf,Russian_Lang_Pt,Sign_Lang_Stf,Sign_Lang_Pt,Spanish_Lang_Stf,Spanish_Lang_Pt,Tagalog_Lang_Stf,Tagalog_Lang_Pt,Vietnamese_Lang_Stf,Vietnamese_Lang_Pt,Eng_Not_Prim_Pt_Percent,Lang_If_Eng_Not_Prim,Physn_Salary_FTE,Physn_Contract_FTE,Physn_Volunteer_FTE,Physn_TOTL_FTE,Physn_Enctr_FTE,Physn_Asst_Salary_FTE,Physn_Asst_Contract_FTE,Physn_Asst_Volunteer_FTE,Physn_Asst_TOTL_FTE,Physn_Asst_Enctr_FTE,Nur_Fam_Pract_Salary_FTE,Nur_Fam_Pract_Contract_FTE,Nur_Fam_Pract_Volunteer_FTE,Nur_Fam_Pract_TOTL_FTE,Nur_Fam_Pract_Enctr_FTE,Midwiv_Salary_FTE,Midwiv_Contract_FTE,Midwiv_Volunteer_FTE,Midwiv_TOTL_FTE,Midwiv_Enctr_FTE,Nur_Visit_Salary_FTE,Nur_Visit_Contract_FTE,Nur_Visit_Volunteer_FTE,Nur_Visit_TOTL_FTE,Nur_Visit_Enctr_FTE,Dentist_Salary_FTE,Dentist_Contract_FTE,Dentist_Volunteer_FTE,Dentist_TOTL_FTE,Dentist_Enctr_FTE,Dent_Hyg_Salary_FTE,Dent_Hyg_Contract_FTE,Dent_Hyg_Volunteer_FTE,Dent_Hyg_TOTL_FTE,Dent_Hyg_Enctr_FTE,PsyD_Salary_FTE,PsyD_Contract_FTE,PsyD_Volunteer_FTE,PsyD_TOTL_FTE,PsyD_Enctr_FTE,Psych_Clin_Salary_FTE,Psych_Clin_Contract_FTE,Psych_Clin_Volunteer_FTE,Psych_Clin_TOTL_FTE,Psych_Clin_Enctr_FTE,LCSW_Salary_FTE,LCSW_Contract_FTE,LCSW_Volunteer_FTE,LCSW_TOTL_FTE,LCSW_Enctr_FTE,Othr_MediCal_Provdr_Salary_FTE,Othr_MediCal_Provdr_Contract_FTE,Othr_MediCal_Provdr_Volunteer_FTE,Othr_MediCal_Provdr_TOTL_FTE,Othr_MediCal_Provdr_Enctr_FTE,Othr_CPSP_Providr_Salary_FTE,Othr_CPSP_Provdr_Contract_FTE,Othr_CPSP_Provdr_Volunteer_FTE,Othr_CPSP_Provdr_TOTL_FTE,Othr_CPSP_Provdr_Enctr_FTE,FTE_Salary_TOTL,FTE_Contract_TOTL,FTE_Volunteer_TOTL,FTE_GRAND_TOTL,Enctr_GRAND_TOTL,RDH_Salary_FTE,RDH_Contract_FTE,RDH_Volunteer_FTE,RDH_TOTL_FTE,RDH_Contact_FTE,Dent_Asst_Salary_FTE,Dent_Asst_Contract_FTE,Dent_Asst_Volunteer_FTE,Dent_Asst_TOTL_FTE,Dent_Asst_Contact_FTE,Dent_Asst_No_Lic_Salary_FTE,Dent_Asst_No_Lic_Contract_FTE,Dent_Asst_No_Lic_Volunteer_FTE,Dent_Asst_No_Lic_TOTL_FTE,Dent_Asst_No_Lic_Contact_FTE,Therapist_Marr_Fam(MFT)_Salary_FTE,Therapist_Marr_Fam(MFT)_Contract_FTE,Therapist_Marr_Fam(MFT)_Volunteer_FTE,Therapist_Marr_Fam(MFT)_TOTL_FTE,Therapist_Marr_Fam(MFT)_Contact_FTE,Nur_Regist_Salary_FTE,Nur_Regist_Contract_FTE,Nur_Regist_Volunteer_FTE,Nur_Regist_TOTL_FTE,Nur_Regist_Contact_FTE,LVN_Salary_FTE,LVN_Contract_FTE,LVN_Volunteer_FTE,LVN_TOTL_FTE,LVN_Contact_FTE,Med_Asst_No_Lic_Salary_FTE,Med_Asst_No_Lic_Contract_FTE,Med_Asst_No_Lic_Volunteer_FTE,Med_Asst_No_Lic_TOTL_FTE,Med_Asst_No_Lic_Contact_FTE,Pt_Educ_NonLic_Salary_FTE,Pt_Educ_NonLic_Contract_FTE,Pt_Educ_NonLic_Volunteer_FTE,Pt_Educ_NonLic_TOTL_FTE,Pt_Educ_NonLic_Contact_FTE,Subs_Abuse_Salary_FTE,Subs_Abuse_Contract_FTE,Subs_Abuse_Volunteer_FTE,Subs_Abuse_TOTL_FTE,Subs_Abuse_Contact_FTE,Billing_staff_Salary_FTE,Billing_staff_Contract_FTE,Billing_staff_Volunteer_FTE,Billing_staff_TOTL_FTE,Billing_staff_Contact_FTE,Other_Admin_Staff_Salary_FTE,Other_Admin_Staff_Contract_FTE,Other_Admin_Staff_Volunteer_FTE,Other_Admin_Staff_TOTL_FTE,Other_Admin_Staff_Contact_FTE,Othr_Provdr_Not_Enctr_Salary_FTE,Othr_Provdr_Not_Enctr_Contract_FTE,Othr_Provdr_Not_Enctr_Volunteer_FTE,Othr_Provdr_Not_Enctr_TOTL_FTE,Othr_Provdr_Not_Enctr_Contact_FTE,FTE__Salary_TOTL,FTE__Contract_TOTL,FTE__Volunteer_TOTL,FTE_Contacts_TOTL,FTE_Contacts_GRAND_TOTL,PCC_HEALTH_SERV_MEDICAL,PCC_HEALTH_SERV_DENTAL,PCC_HEALTH_SERV_VISION,PCC_HEALTH_SERV_MENTAL_HEALTH,PCC_HEALTH_SERV_SUBSTANCE_ABUSE,PCC_HEALTH_SERV_DOMESTIC_VIOLENCE,PCC_HEALTH_SERV_BASIC_LAB,PCC_HEALTH_SERV_RADIOLOGICAL_SERVICES,PCC_HEALTH_SERV_URGENT_CARE,PCC_HEALTH_SERV_PHARMACY,PCC_HEALTH_SERV_WOMENS_HEALTH
306197701,BARTZ-ALTADONNA COMMUNITY HEALTH CENTER,43322 GINGHAM AVE,STE 104 AND 105,LANCASTER,93535,661-874-4050,Mary Cummings,Yes,1/1/17,12/31/17,Bartz-Altadonna Community Health Center,43322 Gingham Ave. Ste 104  105,,Lancaster,CA,93535,Mary Cummings,Open,1/6/12,,,,,,36,21,25,6037900504,77.1c,Antelope Valley,11 - Los Angeles,Los Angeles,960001428,-118.1222408,34.6699189,Community Clinic,FQHC,No,,,,YES,,,YES,,YES,,YES,,,,,,,,,,,YES,,,,,YES,,,,,,,,,,,,,,YES,YES,YES,YES,,YES,23,Spanish,0.74,1.03,0.02,1.79,4268,0.08,,,0.08,355,4.19,,,4.19,9090,,,,0,,,,,0,,,,,0,,,,,0,,,0.05,,0.05,14,,,,0,,,,,0,,,,,0,,,,,0,,5.01,1.08,0.02,6.11,13727,,,,0,,,,,0,,,,,0,,1,,,1,390,,,,0,,,,,0,,11.82,,,11.82,,,,,0,,0.04,,,0.04,,4.5,,,4.5,,12.9,,,12.9,,2.29,,,2.29,,32.55,0,0,32.55,390,Yes,,,Yes,Yes,,Yes,,,,Yes
306197817,VISTA COMMUNITY HEALTH CENTER,14117 HUBBARD ST,STE M,SYLMAR,91342,818-833-3066,Delina Johnson,Yes,1/1/17,12/31/17,vista community health center,14117 Hubbard st  ste M,,Sylmar,CA,91342,Delina Johnson,Open,4/16/13,,,,,,39,18,29,6037107010,78.2gg,San Fernando Valley,11 - Los Angeles,Los Angeles,550002091,-118.44054,34.29835,Community Clinic,Neither,YES,,,YES,,,,,,YES,,,,,,,,,YES,,,,YES,,YES,,,,YES,,YES,,,,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,87,Spanish,,2.1,,2.1,4326,,,,0,,,1.7,,1.7,2962,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0,3.8,0,3.8,7288,,,,0,,,,,0,,,,,0,,,,,0,,,1.9,,1.9,4006,,,,0,,3,,1,4,3282,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,3,1.9,1,5.9,7288,Yes,,,,,,Yes,,,,
306191025,PLANNED PARENTHOOD  LOS ANGELES - SANTA MONICA CTR,1316 3RD ST PROMENADE,STE 201,SANTA MONICA,90401,213-284-3200,Margot Taylor,Yes,1/1/17,12/31/17,Planned Parenthood Los Angeles,400 W 30th Street,,Los Angeles,CA,90007,Margot Taylor,Open,7/1/77,7/1/77,,,,960000199,50,26,33,6037701902,78.2z,West,11 - Los Angeles,Los Angeles,960000204,-118.49742,34.01671,Community Clinic,Neither,No,,,YES,,,,,,YES,,,,,,,,,,,,,,YES,,,,,,,,,,,,YES,,,,,,YES,YES,,,,,2,Spanish,0.2,,,0.2,168,15.31,,,15.31,12373,1.42,,,1.42,1144,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,16.93,0,0,16.93,13685,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0,0,0,0,0,Yes,,,,,,Yes,,,,Yes
306190621,PLANNED PARENTHOOD LOS ANGELES-CANOGA PARK CENTER,21001 SHERMAN WAY,STE 9,CANOGA PARK,91303,213-284-3200,Margot Taylor,Yes,1/1/17,12/31/17,Planned Parenthood Los Angeles,400 W 30th Street,,Los Angeles,CA,90007,Margot Taylor,Open,4/15/74,4/15/74,,,,960000196,45,27,30,6037134001,78.2hhhh,San Fernando Valley,11 - Los Angeles,Los Angeles,960000137,-118.5912282,34.2018848,Community Clinic,Neither,No,,,YES,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,YES,YES,,,,,3,Spanish,,,,0,,7.7,,,7.7,9402,4.89,,,4.89,5978,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0,,,0,1,,,,0,,12.59,0,0,12.59,15381,,,,0,,,,,0,,,,,0,,,,,0,,0,,,0,1,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0,0,0,0,1,Yes,,,,,,Yes,,,,Yes
306190733,SOUTH BAY FAMILY HEALTH CARE CENTER,2114 ARTESIA BLVD,,REDONDO BEACH,90278,310-802-6177,Debra Perez,Yes,1/1/17,12/31/17,,,,,,,Debra Perez,Open,6/10/74,6/10/74,,,,960000247,66,26,33,6037620701,78.2iiii,South Bay,11 - Los Angeles,Los Angeles,960000152,-118.3745,33.87276,Community Clinic,FQHC,No,,,YES,,,,,,YES,,,,,,,,,,,,,,YES,,,,,,,,,,,,YES,,,,,,YES,,YES,,,,26,Spanish,2.25,,,2.25,6810,1.25,,,1.25,6826,0.1,,,0.1,192,,,,0,,,,,0,,0.85,,,0.85,1939,,,,0,,,,,0,,,,,0,,,0.67,,0.67,519,,,,0,,,,,0,,4.45,0.67,0,5.12,16286,,,,0,,,,,0,,1.5,,,1.5,1939,,,,0,,,,,0,,,,,0,,8.95,,,8.95,13828,0.33,,,0.33,0,,,,0,,,,,0,,12.49,,,12.49,,,,,0,,23.27,0,0,23.27,15767,Yes,Yes,,Yes,,,Yes,,,,Yes
306195048,T.H.E. CLINIC AT RUTH TEMPLE HEALTH CENTER,3834 S WESTERN AVE,,LOS ANGELES,90062,323-730-1920,Tatyana Klochko,Yes,1/1/17,12/31/17,,,,,,,Marlin Abramian,Open,1/8/97,1/8/97,,,,960002140,59,30,37,6037231300,78.2l,South,11 - Los Angeles,Los Angeles,960001020,-118.30888,34.01659,Community Clinic,FQHC,No,,,YES,YES,,,,,YES,YES,YES,YES,,,YES,YES,YES,YES,,,YES,YES,,,,,YES,YES,YES,YES,,,,YES,,,YES,YES,,,YES,YES,YES,YES,,,30,Spanish,7.66,2.43,,10.09,32603,2.79,,,2.79,9041,1.46,,,1.46,4887,0.11,,,0.11,210,,,,0,,2.43,,,2.43,2884,,,,0,,,,,0,,,,,0,,2.23,,,2.23,1135,0.85,,,0.85,1645,,,,0,,17.53,2.43,0,19.96,52405,0.27,,,0.27,237,,,,0,,3.82,,,3.82,,,,,0,,4.93,,,4.93,728,,,,0,,15.48,,,15.48,,2.75,,,2.75,439,,,,0,,7.53,,,7.53,,62.56,,,62.56,,,,,0,,97.34,0,0,97.34,1404,Yes,Yes,Yes,Yes,,,Yes,,,,Yes
306196528,COMPREHENSIVE COMMUNITY HEALTH CTR. INC-EAGLE ROCK,1704 COLORADO BLVD,,LOS ANGELES,90041,323-256-4116,Flora Poladyan,Yes,1/1/17,12/31/17,"Comprehensive Community Health Centers, Inc","801 S. Chevy Chase Dr., Suite 20",,Glendale,CA,91205,Shameen Cooper,Open,9/10/03,,,,,,51,24,34,6037181400,78.2dd,Metro,11 - Los Angeles,Los Angeles,960001406,-118.2038707,34.1391141,Community Clinic,FQHC,No,,,YES,,,,,,YES,,,YES,,,YES,,YES,YES,,,,,,,,,,,,,,,,,,,YES,,,,YES,YES,YES,,,,41,Spanish,2.06,0.61,,2.67,12447,1,0.1,,1.1,5690,1.13,,,1.13,4952,,,,0,,,,,0,,1.34,,,1.34,5429,,,,0,,0.01,,,0.01,72,,,,0,,1,,,1,1579,,0.03,,0.03,46,0.28,,,0.28,250,6.82,0.74,0,7.56,30465,,,,0,,,,,0,,2.31,,,2.31,,,,,0,,,,,0,,0.96,,,0.96,,8.31,0.06,,8.37,,2.58,4.64,,7.22,,,,,0,,1.5,,,1.5,,23.67,2.38,,26.05,,,,,0,,39.33,7.08,0,46.41,0,Yes,Yes,,Yes,,,Yes,,Yes,,Yes
306198400,"MISSION CITY COMMUNITY NETWORK, INC. - SEPULVEDA",8527 SEPULVEDA BLVD.,,NORTH HILLS,91343,818-895-3100,Nik Gupta,Yes,1/1/17,12/31/17,,,,,,,Nik Gupta,Open,11/10/16,,,,,,46,18,29,6037117408,78.2kk,San Fernando Valley,11 - Los Angeles,Los Angeles,550003718,-118.46773,34.22557,Community Clinic,FQHC,No,,,,,,,,,YES,,,,,,,,,,,,,,YES,YES,,,,,,,,,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,55,Spanish,0.44,0.69,0,1.13,5434,0.77,0,0,0.77,3979,0.46,0,0,0.46,2111,0,0,0,0,0,0,0,0,0,0,3.4,0.57,0,3.97,6675,0,0,0,0,0,0.16,0.09,0,0.25,847,0,0.2,0,0.2,1153,0.69,0,0,0.69,1094,0.52,0,0,0.52,1563,0,0,0,0,0,6.44,1.55,0,7.99,22856,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,6,0,0,6,0,0,0,0,0,0,0.17,0,0,0.17,49,3,0,0,3,,18,0,0,18,,0,0,0,0,,33.17,0,0,33.17,49,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes
306196530,"COMPREHENSIVE COMMUNITY HEALTH CTR., INC-N HOLLYWOOD",12157 VICTORY BLVD,,NORTH HOLLYWOOD,91606,818-755-8000,Flora Poladyan,Yes,1/1/17,12/31/17,"Comprehensive Community Health Centers, Inc","801 S. Chevy Chase Dr., Suite 20",,Glendale,CA,91205,Shameen Cooper,Open,10/10/03,,,,,,39,18,29,6037123901,78.2bb,San Fernando Valley,11 - Los Angeles,Los Angeles,960001408,-118.3985591,34.187018,Community Clinic,FQHC,No,,,YES,,,,,,YES,,,YES,,,,,YES,YES,,,,,,,,,,,,,,,,,,,YES,,,,YES,YES,,,,,68,Spanish,4.67,0.23,,4.9,15871,1.45,,,1.45,7539,1.9,,,1.9,6611,,,,0,,,,,0,,,,,0,,,,,0,,,0.05,,0.05,534,,,,0,,0.38,,,0.38,773,1.2,,,1.2,3235,0.79,,,0.79,702,10.39,0.28,0,10.67,35265,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0.42,,,0.42,,15.63,,,15.63,,2.77,2.76,,5.53,,,,,0,,1.74,,,1.74,,25.7,1.44,,27.14,,,,,0,,46.26,4.2,0,50.46,0,Yes,,Yes,Yes,,,Yes,,Yes,,Yes
306196607,PREGNANCY COUNSELING CENTER,10211 SEPULVEDA BLVD,,MISSION HILLS,91345,818-895-2500,Edelmira Bernal,Yes,1/1/17,12/31/17,,,,,,,Edelmira Bernal,Open,10/10/09,,,,,,39,18,29,6037109603,78.2kk,San Fernando Valley,11 - Los Angeles,Los Angeles,550001155,-118.4678142,34.2557811,Community Clinic,Neither,No,,,,YES,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,63,Spanish,,,1,1,,,,,0,,,,,0,,,,,0,,1,,,1,289,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1,0,1,2,289,,,,0,,,,,0,,,,,0,,,,,0,,45,,35,80,289,,,,0,,,,,0,,,,,0,289,,,,0,,,,,0,,,,,0,,,,,0,,45,0,35,80,578,,,,,,,,,,,
306196164,ST. ANTHONY MEDICAL CENTER/IMPERIAL CLINIC,837 W IMPERIAL HWY,,LOS ANGELES,90044,323-755-3555,Rita George,Yes,1/1/17,12/31/17,ST. ANTHONY MEDICAL CENTER/IMPERIAL CLINIC,6368 HOLLYWOOD BLVD,,HOLLYWOOD,CA,90028,RITA GEORGE,Open,8/11/00,8/11/00,,,,960002644,64,30,43,6037241202,78.2s,South,11 - Los Angeles,Los Angeles,960001294,-118.2905,33.93101,Community Clinic,FQHC,No,,,,,,,,,YES,,YES,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,24,Spanish,0.24,0.03,,0.27,717,1.63,,,1.63,6519,,,,0,0,,,,0,0,,,,0,0,,0.05,,0.05,230,,,,0,0,,,,0,0,,0.05,,0.05,105,,,,0,1,,,,0,0,,,,0,0,1.87,0.13,0,2,7572,,,,0,,,,,0,,0.16,,,0.16,,,,,0,,,,,0,,,,,0,,2.92,,,2.92,,0.27,,,0.27,,,,,0,,0.58,,,0.58,,1.75,,,1.75,,3.13,0.01,,3.14,,8.81,0.01,0,8.82,0,Yes,Yes,,Yes,Yes,,Yes,,,,Yes
306196123,FAMILY HEALTH CENTER,"1760-70 N ORANGE GROVE AVE., STE. 101",,POMONA,91767,909-469-9494,"Darlene McPherson, PhD",Yes,1/1/17,12/31/17,Pomona Valley Hospital Medical Center,1798 N. Garey Ave.,,Pomona,CA,91767,Darlene McPherson,Open,1/11/00,1/11/00,,,,960002662,52,20,35,6037402102,78.2tt,San Gabriel Valley,11 - Los Angeles,Los Angeles,960001312,-117.74928,34.07588,Community Clinic,Neither,No,,,YES,,,,,,YES,,,,,,YES,YES,,,,YES,YES,YES,,,,,,YES,,YES,,YES,,YES,,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,15,Spanish,,5.05,,5.05,32826,,,,0,,0.2,,,0.2,190,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0.2,5.05,0,5.25,33016,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,4,,,4,,9.8,,,9.8,,,,,0,,,,,0,,,,,0,,11,,,11,,4.5,,,4.5,,29.3,0,0,29.3,0,Yes,,,Yes,,,Yes,,,,Yes
306196166,ST. ANTHONY MEDICAL CENTER/ PICO CLINIC,2515 W PICO BLVD,,LOS ANGELES,90006,213-384-4555,Rita George,Yes,1/1/17,12/31/17,ST. ANTHONY MEDICAL CENTERS,6368 HOLLYWOOD BLVD,,HOLLYWOOD,CA,90028,RITA GEORGE,Open,8/11/00,8/11/00,,,,960002646,53,24,34,6037213320,78.2b,Metro,11 - Los Angeles,Los Angeles,960001296,-118.29211,34.0473,Community Clinic,FQHC,No,,,,,,,,,YES,,YES,,,,YES,YES,,,YES,YES,,YES,,YES,,,,YES,YES,YES,,,,,,,,,,,YES,YES,,YES,,YES,51,Spanish,0.34,0.04,,0.38,1214,1.25,,,1.25,6687,0.36,,,0.36,1487,,,,0,0,,,,0,0,0.17,0.75,,0.92,4388,,,,0,0,,,,0,1,,0.1,,0.1,217,0.01,,,0.01,1,,,,0,0,,,,0,0,2.13,0.89,0,3.02,13995,,,,0,,,,,0,,2.33,0.02,,2.35,,,,,0,,,,,0,,,,,0,,2.8,,,2.8,,0.28,,,0.28,,,,,0,,0.59,,,0.59,,1.75,,,1.75,,2.85,0.01,,2.86,,10.6,0.03,0,10.63,0,Yes,Yes,,Yes,Yes,,Yes,,,,Yes
306197739,TARZANA TREATMENT CENTERS FAMILY MEDICAL RESEDA CLINIC,7101 BAIRD AVE,,RESEDA,91335,818-342-5897,Albert M. Senella,Yes,1/1/17,12/31/17,"Tarzana Treatment Centers, Inc.",18646 Oxnard St.,,Tarzana,CA,91356,Clarita Lantican,Open,10/11/12,,,,,,45,27,30,6037131020,78.2hhhh,San Fernando Valley,11 - Los Angeles,Los Angeles,550002124,-118.53738,34.19946,Community Clinic,Neither,No,,,,,,,,,,,YES,,,,,YES,YES,,,,,YES,,,,,,,,YES,,,,,,,,YES,,,YES,YES,,,,,10,Spanish,,0.6,,0.6,450,1.2,,,1.2,901,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1.2,0.6,0,1.8,1351,,,,0,,,,,0,,,,,0,,,,,0,,1,,,1,505,,,,0,,4,,,4,1351,,,,0,,,,,0,,1,,,1,,1,,,1,,,,,0,,7,0,0,7,1856,Yes,,,Yes,Yes,,Yes,,,,
306195000,POMONA COMMUNITY HEALTH CENTER,750 S PARK AVE,STE 101,POMONA,91766,909-630-6255,Ellen Silver,Yes,1/1/17,12/31/17,Pomona Community Health Center,1450 E Holt Ave,,Pomona,CA,91767-4505,Anne Frunk,Open,4/14/97,4/14/97,,,,960002139,52,20,35,6037408800,78.2ss,San Gabriel Valley,11 - Los Angeles,Los Angeles,960001019,-117.75431,34.0527,Community Clinic,FQHC,No,,,YES,,,,YES,,YES,,,YES,,,,YES,,YES,,YES,YES,YES,,,,,,,,,,YES,,,,,,YES,,,YES,YES,YES,YES,YES,YES,36,Spanish,0.1,,,0.1,468,,,,0,,1.28,,,1.28,3078,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0.08,,,0.08,82,,,,0,,,,,0,,1.46,0,0,1.46,3628,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0.13,,,0.13,,1.19,,,1.19,,,,,0,,,,,0,,,,,0,,1.15,,,1.15,,,,,0,,2.47,0,0,2.47,0,Yes,,,Yes,,,,,,,Yes
306194818,VENICE FAMILY CLINIC - ROBERT LEVINE FAMILY HEALTH.,905 VENICE BLVD,,VENICE,90291,310-664-7941,Andrea Blackbird,Yes,1/1/17,12/31/17,Venice Family Clinic,604 Rose Avenue,,Venice,CA,90291,Mary Siewert,Open,11/1/95,11/1/95,,,,960001994,62,26,33,6037273600,78.2z,West,11 - Los Angeles,Los Angeles,960000959,-118.454341,33.99358,Community Clinic,FQHC,No,,,,,,,,,,,,,,,YES,,,,,,YES,,YES,,,,,,,,,,YES,,,,YES,,YES,,YES,YES,YES,,YES,,38,Spanish,0.3,0.2,0.02,0.52,1566,0.1,0,0,0.1,0,0.97,0,0,0.97,1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,1.37,0.2,0.02,1.59,3392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.3,0,0,0.3,25,0,0,0,0,0,3,0,0.05,3.05,60,2.2,0,0,2.2,38,0,0,0,0,0,0,0,0,0,,1.25,0,0.13,1.38,,0,0,0,0,,6.75,0,0.18,6.93,130,Yes,,,Yes,,Yes,Yes,,,,Yes
306190817,VENICE FAMILY CLINIC,604 ROSE AVE,,VENICE,90291,310-664-7941,Andrea Blackbird,Yes,1/1/17,12/31/17,Venice Family Clinic,604 Rose Avenue,,Venice,CA,90291,Mary Siewert,Open,2/26/74,2/26/74,,,,960000251,62,26,33,6037273200,78.2z,West,11 - Los Angeles,Los Angeles,960000169,-118.471641,33.999,Community Clinic,FQHC,No,,,,,,,,,,,,,,,YES,,,,,,YES,,YES,,,,,,,,,,YES,,,,YES,,YES,,YES,YES,YES,,YES,,33,Spanish,6.26,0,1.32,7.58,22073,2.4,0,0.17,2.57,4323,2.61,0.14,0,2.75,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0.21,0.14,0,0.35,499,0,0,0,0,1,2.36,0,0,2.36,684,0,0.14,0.44,0.58,1280,0,0,0,0,0,13.84,0.42,1.93,16.19,36095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,379,4.99,0,0.01,5,1157,0,0,0,0,0,15.93,0,2.76,18.69,1343,6.27,0,1.34,7.61,70,3.8,0,0,3.8,0,13.39,0,0,13.39,,18.69,0,0.78,19.47,,4.42,0.28,0.35,5.05,,67.49,0.28,5.3,73.07,2949,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes
306190567,NORTHEAST VALLEY HEALTH CORPORATION,1600 SAN FERNANDO RD,,SAN FERNANDO,91340,818-365-8086-50203,KIMBERLY PALACIOS,Yes,1/1/17,12/31/17,NORTHEAST VALLEY HEALTH CORPORATION,1172 N. MACALY AVENUE,,SAN FERNANDO,CA,91340,Paul Smith,Open,8/1/73,8/1/73,,,,960000192,39,18,29,6037320300,78.2ll,San Fernando Valley,11 - Los Angeles,Los Angeles,960000124,-118.448461,34.28877,Community Clinic,FQHC,No,,,,,,,YES,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,,,58,Spanish,14.41,,,14.41,27596,2.37,,,2.37,1646,12.48,,,12.48,24559,0.17,,,0.17,1022,,,,0,,11.21,,,11.21,24857,0.78,,,0.78,1195,,,,0,,,,,0,,4.55,,,4.55,1083,1.56,,,1.56,2086,,,,0,,47.53,0,0,47.53,84044,,,,0,,15.48,,,15.48,24857,,,,0,,,,,0,,5.68,,,5.68,19672,8.88,,,8.88,30755,59.44,,,59.44,67235,,,,0,,,,,0,,,,,0,,72.52,,,72.52,,3.37,,,3.37,,165.37,0,0,165.37,142519,Yes,Yes,,Yes,,,Yes,Yes,,Yes,Yes
