"FAC_NAME","FAC_ADDRESS_ONE","LATITUDE","LONGITUDE","COUNTY","CENS_TRACT","FAC_CITY","OSHPD_ID"
"CENTER FOR ELDERS INDEPENDENCE","1497 ALCATRAZ AVE","37.8479","-122.27817","Alameda","6001424002","BERKELEY","306014163"
"CENTRAL CITY COMMUNITY HEALTH CENTER MOBILE UNIT","5968 S CENTRAL AVE","33.98568","-118.256441","Los Angeles","6037239202","LOS ANGELES","306197167"
"PLANNED PARENTHOOD","8480 ENTERPRISE WAY","37.74219","-122.19271","Alameda","6001409000","OAKLAND","306014353"
"TIBURCIO VASQUEZ HEALTH CENTER, INC.","22331 MISSION BLVD","37.67446","-122.08678","Alameda","6001435400","HAYWARD","306014369"
"AMPLA HEALTH GRIDLEY MEDICAL","520 KENTUCKY ST","39.36385","-121.69653","Butte","6007003501","GRIDLEY","306044002"
"GARDNER DOWNTOWN HEALTH CENTER","725 E SANTA CLARA ST","37.3434594","-121.8753544","Santa Clara","6085501200","SAN JOSE","306434235"
"OBRIA MEDICAL CLINICS OF SOUTHERN CALIFORNIA, INC. - BUENA P","8352 COMMONWEALTH AVE","33.86992","-117.98735","Orange","6059110603","BUENA PARK","306198197"
"ALTAMED MEDICAL GROUP: SANTA ANA CENTRAL","1155 W CENTRAL AVE","33.71257","-117.88432","Orange","6059074005","SANTA ANA","306304570"
"CENTRAL CITY COMMUNITY HEALTH CENTER, INC.","2237 W BALL RD","33.81779","-117.96089","Orange","6059087701","ANAHEIM","306304371"
"MACT MEDICAL CLINIC, SONORA","13975 MONO WAY","37.97833","-120.33951","Tuolumne","6109004100","SONORA","306554009"
"FOSHAY CLINIC","3751 S HARVARD BLVD","34.01918","-118.30621","Los Angeles","6037222500","LOS ANGELES","306196121"
"LA AMISTAD FAMILY HEALTH CENTER","353 S MAIN ST","33.78287","-117.86727","Orange","6059076000","ORANGE","306300226"
"PUENTE A LA SALUD MOBILE VISION CLINIC","363 S MAIN ST","33.7827819","-117.8669556","Orange","6059076000","ORANGE","306304248"
"SLO NOOR CLINIC","1428 PHILLIPS LN","35.28799","-120.65742","San Luis Obispo","6079011002","SAN LUIS OBISPO","306404079"
"AHF HEALTHCARE CENTER - DOWNTOWN","1400 S GRAND AVE","34.0360682","-118.2650579","Los Angeles","6037224010","LOS ANGELES","306197824"
"ALTAMED DENTAL GROUP-ANAHEIM LINCOLN","1814 W LINCOLN AVE","33.8321645","-117.9463514","Orange","6059087103","ANAHEIM","306304445"
"SAMUEL DIXON FAMILY HEALTH CENTER, INC.","30257 SAN MARTINEZ RD","34.44739","-118.66442","Los Angeles","6037920106","CASTAIC","306194195"
"AHF HEALTHCARE CENTER - HOLLYWOOD","1300 N VERMONT AVE","34.09569","-118.29173","Los Angeles","6037191302","LOS ANGELES","306194239"
"SUTTER COUNTY - PEACH TREE CLINIC","1445 VETERANS MEMORIAL CIR","39.14504","-121.63687","Sutter","6101050604","YUBA CITY","306514040"
"TIGER HEALTH CLINIC","4610 FOOTHILL BLVD","37.77367","-122.20957","Alameda","6001407600","OAKLAND","306014211"
"SIERRA PREGNANCY AND HEALTH","1212 COLOMA WAY","38.73675","-121.27084","Placer","6061020712","ROSEVILLE","306314054"
"GYNECOLOGY HEALTH CENTER","220 S PALISADE DR","34.95128","-120.4121","Santa Barbara","6083002211","SANTA MARIA","306424095"
"MONTAGE MEDICAL GROUP","30 GARDEN CT","36.58452","-121.855731","Monterey","6053013300","MONTEREY","306274089"
"PLANNED PARENTHOOD MAR MONTE","500 E ALMOND AVE","36.94546","-120.05107","Madera","6039000502","MADERA","306200087"
"CLINICA ALTA VISTA","1515 FRUITVALE AVE","37.7791","-122.22513","Alameda","6001406202","OAKLAND","306014205"
"HOLLISTER PREGNANCY CENTER","483 5TH ST","36.85148","-121.40542","San Benito","6069000400","HOLLISTER","306354002"
"MISSION CITY COMTY NETWORK - PACOIMA MIDDLE SCHOOL","9919 LAUREL CANYON BLVD","34.25063","-118.42355","Los Angeles","6037104822","PACOIMA","306196716"
"NEVHC HOMELESS MOBILE CLINIC","1172 N MACLAY AVE","34.29584","-118.4241","Los Angeles","6037320100","SAN FERNANDO","306197031"
"HORIZON PREGNANCY CLINIC MOBILE","15061 SPRINGDALE ST","33.74377","-118.02444","Orange","6059099603","HUNTINGTON BEACH","306304606"
"WESTERN SIERRA MEDICAL CENTER","844 OLD TUNNEL RD","39.23658","-121.03068","Nevada","6057000600","GRASS VALLEY","306294027"
"CENTRAL VALLEY INDIAN HEALTH CLINIC PRATHER","29369 AUBERRY RD","37.03865","-119.51793","Fresno","6019006405","PRATHER","306104069"
"COMMUNITY HEALTH CENTERS OF SAN MIGUEL","1385 MISSION ST","35.75256","-120.69623","San Luis Obispo","6079010016","SAN MIGUEL","306404102"
"LOU COLEN CHILDRENS HEALTH AND WELLNESS CENTER","4700 INGLEWOOD BLVD","33.99316","-118.41519","Los Angeles","6037275500","LOS ANGELES","306198287"
"LOS ANGELES COMMUNITY CLINIC, INC.","1830 W OLYMPIC BLVD","34.05055","-118.27734","Los Angeles","6037209520","LOS ANGELES","306198083"
"ALTAMED MEDICAL GROUP - SANTA ANA - BRISTOL","2720 S BRISTOL ST","33.71091","-117.88545","Orange","6059074111","SANTA ANA","306304543"
"SOUTH BAY FAMILY HEALTH CARE","270 E 223RD ST","33.8241928","-118.2728879","Los Angeles","6037543701","CARSON","306197826"
"ST. JOHNS WELL CHILD AND FAMILY CENTER","1555 W 110TH ST","33.9354794","-118.3037135","Los Angeles","6037600302","LOS ANGELES","306197823"
"AZUSA HEALTH SERVICES","472 S CITRUS AVE","34.1149251","-117.8901769","Los Angeles","6037404000","AZUSA","306197881"
"WEIGHT LOSS SURGERY INSTITUTE OF THE CENTRAL COAST","316 S STRATFORD AVE","34.95025","-120.41476","Santa Barbara","6083002211","SANTA MARIA","306424103"
"LA CLINICA DE LA RAZA DENTAL","3050 E 16TH ST","37.78001","-122.22533","Alameda","6001406202","OAKLAND","306013346"
"ALEXANDER VALLEY HEALTHCARE","100 W 3RD ST","38.80765","-123.01919","Sonoma","6097154202","CLOVERDALE","306494128"
"UNITED INDIAN HEALTH SERVICES, INC.","1675 NORTHCREST DR","41.77536","-124.199081","Del Norte","6015000104","CRESCENT CITY","306084007"
"UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY","6425 W BOWLES AVE","36.601","-119.90691","Fresno","6019007600","RAISIN CITY","306105127"
"SHASTA COMMUNITY HEALTH CENTER - MOBILE UNIT 1","1035 PLACER ST","40.5830374","-122.3852105","Shasta","6089010100","REDDING","306454064"
"UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY","106 E MAIN ST","36.62891","-119.67867","Fresno","6019001600","FOWLER","306105134"
"SANTEE FAMILY MEDICINE","120 TOWN CENTER PARKWAY","32.8407","-116.98875","San Diego","6073016614","SANTEE","306374563"
"COMMUNITY HEALTH CLINIC OLE","1222 PINE ST","38.50589","-122.47227","Napa","6055201602","SAINT HELENA","306284021"
"PLANNED PARENTHOOD SANTA ROSA CENTER","1140 SONOMA AVE","38.44118","-122.69979","Sonoma","6097151800","SANTA ROSA","306494120"
"PEACH TREE NORTH SACRAMENTO","3810 ROSIN CT","38.63775","-121.47546","Sacramento","6067007001","SACRAMENTO","306344231"
"GREENFIELD COMMUNITY HEALTH CENTER","9001 S H ST","35.2740574","-119.0213091","Kern","6029003202","BAKERSFIELD","306154177"
"AHF HEALTHCARE CENTER - OAKLAND","400 30TH ST","37.8190119","-122.2646799","Alameda","6001401300","OAKLAND","306014254"
"LIFELONG DENTAL CARE","1860 ALCATRAZ AVE","37.84891","-122.26989","Alameda","6001423901","BERKELEY","306013630"
"PLANNED PARENTHOOD EUREKA","3225 TIMBER FALL CT","40.77891","-124.135271","Humboldt","6023000700","EUREKA","306124043"
"SAC SAN BERNARDINO CAMPUS","250 N G ST","34.10371","-117.29907","San Bernardino","6071005701","SAN BERNARDINO","306364558"
"HEALTH MOBILE","1659 SCOTT BLVD","37.35435","-121.958871","Santa Clara","6085505202","SANTA CLARA","306434284"
"INDIAN HEALTH CENTER OF SANTA CLARA VALLEY","2039 FOREST AVE","37.3274","-121.934181","Santa Clara","6085500500","SAN JOSE","306434283"
"MT. PLEASANT HEALTH CENTER","1650 S WHITE RD","37.346497","-121.810304","Santa Clara","6085503509","SAN JOSE","306434250"
"CHAPCARE VACCO","10408 VACCO ST","34.047333","-118.0443703","Los Angeles","6037433700","SOUTH EL MONTE","306197834"
"FRESNO MOBILE UNIT","4498 N BRAWLEY AVE","36.80172","-119.86246","Fresno","6019004205","FRESNO","306105126"
"CAMARENA HEALTH A STREET","124 S A ST","36.96399","-120.05455","Madera","6039000800","MADERA","306204032"
"GASTON MIDDLE SCHOOL HEALTH AND WELLNESS CENTER","1120 E CHURCH AVENUE","36.7141221","-119.7975412","Fresno","6019000901","FRESNO","306105117"
"HEALTH TO HOPE CLINICS","2880 HULEN PL","33.9869249","-117.35352","Riverside","6065030502","RIVERSIDE","306334664"
"PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES","15403 PARK AVE E","34.506574","-117.323856","San Bernardino","6071009904","VICTORVILLE","306364484"
"POMONA COMMUNITY HEALTH CENTER","1556 S SULTANA AVE","34.04545","-117.646","San Bernardino","6071001812","ONTARIO","306364520"
"COMMUNITY MEDICAL CENTERS, E. MARCH LANE","1801 E MARCH LN","38.00314","-121.28701","San Joaquin","6077003409","STOCKTON","306394121"
"ARIA COMMUNITY HEALTH CENTER STRATFORD","20326 MAIN ST","36.18962","-119.82303","Kings","6031001601","STRATFORD","306164041"
"ALPHA PREGANCY HELP CENTER MOBILE","700 LOUGHBOROUGH DR","37.32272","-120.47987","Merced","6047001004","MERCED","306244058"
"BAYVIEW CHILD HEALTH CENTER","3450 3RD ST","37.74529","-122.38725","San Francisco","6075980900","SAN FRANCISCO","306384229"
"CENTRAL NEIGHBORHOOD HEALTH FOUNDATION","2614 S GRAND AVE","34.02588","-118.272618","Los Angeles","6037224600","LOS ANGELES","306197882"
"NECC HARBOR CITY HEALTH CENTER","1403 LOMITA BLVD","33.798336","-118.301832","Los Angeles","6037293302","HARBOR CITY","306197827"
"FERNDALE COMMUNITY HEALTH CENTER","638 MAIN ST","40.5784","-124.261361","Humboldt","6023011200","FERNDALE","306124042"
"FAMILY HEALTHCARE NETWORK","31180 N ROAD 72","36.35585","-119.4124","Tulare","6107000900","GOSHEN","306544105"
"OMNI FAMILY HEALTH","925 G ST","36.59801","-119.45264","Fresno","6019006602","REEDLEY","306105138"
"PLANNED PARENTHOOD MAR MONTE, INC.","435 GRAND AVE","37.65596","-122.41387","San Mateo","6081602200","SOUTH SAN SAN FRANCISCO","306414166"
"CLINICAS DEL CAMINO REAL, INC. - EAST SIMI VALLEY","4370 EVE ROAD","34.28259","-118.70948","Ventura","6111008401","SIMI VALLEY","306564269"
"COMMUNITY HEALTH CENTERS, MOBILE DENTAL VAN 2","150 TEJAS PL","35.026608","-120.498978","San Luis Obispo","6079012402","NIPOMO","306404081"
"CHC PALISADE WOMENS HEALTH","210 S PALISADE DR","34.95175","-120.41208","Santa Barbara","6083002211","SANTA MARIA","306424099"
"PEACH TREE MIDTOWN","1900 T ST","38.5656286","-121.4857578","Sacramento","6067002000","SACRAMENTO","306344070"
"NORTHERN VALLEY INDIAN HEALTH, INC.","175 W COURT ST","38.6785307","-121.7923274","Yolo","6113010902","WOODLAND","306574006"
"CORONA LIFE SERVICES","623 N MAIN ST","33.88843","-117.56428","Riverside","6065040809","CORONA","306334709"
"ICU MOBILE RIVERSIDE COUNTY","22433 STANLEY LN","33.58555","-117.26503","Riverside","6065043272","WILDOMAR","306334693"
"KERMAN UNIFIED SCHOOL DISTRICT COMMUNITY HEALTH CENTER","702 S 8TH ST","36.7245462","-120.0564702","Fresno","6019004002","KERMAN","306105103"
"PLANNED PARENTHOOD MAR MONTE, INC. - WEST OAKLAND","1682 7TH ST","37.806615","-122.300306","Alameda","6001401800","OAKLAND","306014319"
"ARIA COMMUNITY HEALTH CENTER AMC","148 E KINGS ST","36.00226","-120.136541","Kings","6031001701","AVENAL","306164039"
"WOMENS RESOURCE CLINIC","115 W 2ND AVE","39.73859","-121.84702","Butte","6007000603","CHICO","306044170"
"OROSI FAMILY MEDICAL CARE","12683 AVENUE 416","36.544663","-119.289624","Tulare","6107000201","OROSI","306544054"
"TURNING POINT PREGNANCY RESOURCE CENTER INC.","7340 MIRAMAR RD","32.88295","-117.15464","San Diego","6073008350","SAN DIEGO","306374540"
"SAN YSIDRO SENIOR HEALTH CENTER","3364 BEYER BLVD","32.56613","-117.06101","San Diego","6073010005","SAN YSIDRO","306374514"
"CHULA VISTA MEDICAL PLAZA","678 3RD AVE","32.6286022","-117.0755014","San Diego","6073013000","CHULA VISTA","306374498"
"UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY","1560 E MANNING AVE","36.604145","-119.432597","Fresno","6019006604","REEDLEY","306105116"
"UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY","1270 N LEMOORE AVE","36.3157","-119.780071","Kings","6031000403","LEMOORE","306164037"
"PREVENTIVE CARE PATHWAYS","5709 MARKET ST","37.84176","-122.274544","Alameda","6001400700","OAKLAND","306014296"
"NEIGHBORHOOD HEALTHCARE - MENIFEE","26926 CHERRY HILLS BLVD","33.71055","-117.19088","Riverside","6065042711","MENIFEE","306334694"
"NEIGHBORHOOD HEALTH CARE - DEVONSHIRE AVE","903 E DEVONSHIRE AVE","33.75116","-116.96275","Riverside","6065043401","HEMET","306334722"
"FAMILY HEALTHCARE NETWORK - TULARE","263 S. WEST STREET","36.20413","-119.36684","Tulare","6107002202","TULARE","306544101"
"NECC GAGE HEALTH CENTER","2975 ZOE AVE","33.9793489","-118.216067","Los Angeles","6037533106","HUNTINGTON PARK","306197844"
"PLANNED PARENTHOOD GLENDORA HEALTH CENTER","130 W ROUTE 66","34.128229","-117.864973","Los Angeles","6037401102","GLENDORA","306197825"
"EISNER PEDIATRIC AND FAMILY CENTER - WOMENS HEALTH CENTER","1513 S GRAND AVE","34.03609","-118.26614","Los Angeles","6037224010","LOS ANGELES","306198085"
"AGHABY COMPREHENSIVE COMMUNITY HEALTH CENTER","349 W COMPTON BLVD","33.89598","-118.22771","Los Angeles","6037542602","COMPTON","306198293"
"LOS ANGELES CHRISTIAN HEALTH CENTERS - TELECARE CORE LA","1005 S CENTRAL AVE","34.031413","-118.244873","Los Angeles","6037226002","LOS ANGELES","306197831"
"LOS ANGELES CHRISTIAN HEALTH CENTERS - EXODUS RECOVERY - ICM","1920 MARENGO ST","34.057296","-118.20969","Los Angeles","6037203300","LOS ANGELES","306197828"
"LOS ANGELES CHRISTIAN HEALTH CENTERS - TELECARE SERVICE AREA 4","600 ST PAUL AVE","34.053109","-118.260635","Los Angeles","6037209200","LOS ANGELES","306197830"
"LOS ANGELES CHRISTIAN HEALTH CENTERS - NEW GENESIS","456 S MAIN ST","34.04717","-118.24807","Los Angeles","6037207302","LOS ANGELES","306197829"
"CLINICA PARA LA MUJER","3624 MLK JR BLVD","33.93158","-118.20317","Los Angeles","6037540202","LYNWOOD","306198288"
"CHAPCARE-GARVEY","10127 GARVEY AVE","34.06277","-118.04871","Los Angeles","6037433101","EL MONTE","306197952"
"THE ACHIEVABLE CLINIC","5901 GREEN VALLEY CIR","33.98414","-118.39258","Los Angeles","6037703001","CULVER CITY","306197841"
"THE CHILDRENS CLINIC FAMILY HEALTH CENTER CABRILLO GATEWAY","2000 SAN GABRIEL AVE","33.79263","-118.22395","Los Angeles","6037572800","LONG BEACH","306198095"
"ALTURA CENTERS FOR HEALTH","3035 E BARDSLEY AVE","36.1964969","-119.3021458","Tulare","6107002400","TULARE","306544092"
"ALTURA CENTERS FOR HEALTH","16686 ROAD 168","36.09267","-119.1967","Tulare","6107003200","PORTERVILLE","306544098"
"ALTURA CENTERS FOR HEALTH","600 N CHERRY ST","36.21677","-119.33763","Tulare","6107002303","TULARE","306544097"
"OMNI FAMILY HEALTH","4600 PANAMA LN","35.29596","-119.05429","Kern","6029003114","BAKERSFIELD","306154173"
"BRAWLEY DENTAL CLINIC","1166 K ST","32.9727461","-115.5228187","Imperial","6025010700","BRAWLEY","306134020"
"OMNI FAMILY HEALTH","1001 MAIN ST","35.76916","-119.2457","Kern","6029005004","DELANO","306150786"
"SHRINERS FOR CHILDREN PRIMARY CARE CLINIC","909 S. FAIR OAKS AVE.","34.13014","-118.15037","Los Angeles","6037463900","PASADENA","306197917"
"CARE NET WOMENS RESOURCE CENTER OF NORTH COUNTY","44733 10TH ST W","34.696377","-118.1483841","Los Angeles","6037900805","LANCASTER","306196851"
"PLANNED PARENTHOOD","316 N MAIN ST","36.68276","-121.65337","Monterey","6053001802","SALINAS","306271860"
